Year,Afghanistan,Australia,"Bahamas, The",Bangladesh,Bahrain,Austria,Barbados,Belgium,Bhutan,Bolivia,Brazil,Bulgaria,Cambodia,Canada,China,Colombia,Cuba,Finland,Fiji,France,Germany,Ghana,Greece,Hungary,India,Indonesia,Iceland,"Hong Kong SAR, China",Ireland,Israel,Italy,Iraq,Kenya,Japan,Kuwait,Lebanon,Maldives,Malaysia,Mali,Malta,Madagascar,Mexico,Morocco,Netherlands,New Zealand,Nepal,Nigeria,Pakistan,Norway,Oman,Peru,Poland,Philippines,Portugal,Qatar,Russian Federation,Singapore,Serbia,South Africa,Spain,Sudan,Tanzania,United States,United Kingdom,Viet Nam
2009 [YR2009],27385307,21691653,368057,146706810,1179453,8343323,273791,10796493,697678,10051317,194517549,7444443,14155740,33630069,1331260000,44313917,11283185,5338871,901383,64710879,81902307,24950762,11107017,10022650,1223640160,240981299,318499,6972800,4535375,7485600,59095365,30289040,40364444,128047000,2795550,4951135,349037,28217204,15032635,412477,21117092,111049428,32042877,16530388,4302600,27026941,156595758,190123222,4828726,2697537,29009326,38151603,92946951,10568247,1610274,142785348,4987573,7320807,51170779,46362946,32948155,43957933,306771529,62276270,86482923
2010 [YR2010],28189672,22031750,373272,148391139,1213645,8363404,274711,10895586,705516,10223270,196353492,7395599,14363532,34005902,1337705000,44816108,11290417,5363352,905169,65030575,81776930,25574719,11121341,10000023,1240613620,244016173,318041,7024200,4560155,7623600,59277417,31264875,41517895,128070000,2943356,4995800,361575,28717731,15529181,414508,21731053,112532401,32464865,16615394,4350700,27161567,160952853,194454498,4889252,2881914,29229572,38042794,94636700,10573100,1713504,142849468,5076732,7291436,51784921,46576897,33739933,45110527,309327143,62766365,87411012
2011 [YR2011],29249157,22340024,377950,150211005,1212077,8391643,275486,11038264,713331,10396246,198185302,7348328,14573885,34339221,1345035000,45308899,11298710,5388272,908355,65345233,80274983,26205941,11104899,9971727,1257621191,247099697,319014,7071600,4580084,7765800,59379449,32378061,42635144,127833000,3143825,5045056,374440,29184133,16039734,416268,22348158,114150481,32903699,16693074,4384000,27266399,165463745,198602738,4953088,3206870,29477721,38063255,96337913,10557560,1804171,143018195,5183688,7234099,52443325,46742697,34419624,46416031,311583481,63258810,88349117
2012 [YR2012],30466479,22733465,382061,152090649,1224939,8429991,276197,11106932,721145,10569697,199977707,7305888,14786640,34713395,1354190000,45782417,11309290,5413971,911059,65662240,80425823,26858762,11045011,9920362,1274487215,250222695,320716,7150100,4599533,7910500,59539717,33864447,43725806,127629000,3394663,5178337,387539,29660212,16514687,420028,22966240,115755909,33352169,16754962,4408100,27330694,170075932,202205861,5018573,3535579,29749589,38063164,98032317,10514844,1905660,143378447,5312437,7199077,53145033,46773055,35159792,47786137,313877662,63700215,89301326
2013 [YR2013],31541209,23128129,385650,154030139,1261673,8479823,276865,11159407,728889,10743349,201721767,7265115,14999683,35080992,1363240000,46237930,11321579,5438972,913453,66002289,80645605,27525597,10965211,9893082,1291132063,253275918,323764,7178900,4623816,8059500,60233948,35481800,44792368,127445000,3646518,5678851,400728,30134807,17004033,425967,23588073,117290686,33803527,16804432,4442100,27381555,174726123,205337562,5079623,3816680,30038809,38040196,99700107,10457295,2035501,143805638,5399162,7164132,53873616,46620045,35990704,49253643,316059947,64128273,90267739
2014 [YR2014],32716210,23475686,389131,155961299,1311134,8546356,277493,11209057,736357,10916987,203459650,7223938,15210817,35434066,1371860000,46677947,11332026,5461512,915560,66312067,80982500,28196358,10892413,9866468,1307246509,256229761,327386,7229500,4657740,8215700,60789140,36746488,45831863,127276000,3761584,6274342,416738,30606459,17551814,434558,24215976,118755887,34248603,16865008,4516500,27462106,179379016,208251628,5137232,4009267,30353951,38011735,101325201,10401062,2214465,144237223,5469724,7130576,54729551,46480882,37003245,50814552,318386329,64602298,91235504
2015 [YR2015],33753499,23815995,392697,157830000,1362142,8642699,278083,11274196,743274,11090085,205188205,7177991,15417523,35704498,1379860000,47119728,11339894,5479531,917200,66548272,81686611,28870939,10820883,9843028,1322866505,259091970,330815,7291300,4701957,8380100,60730582,37757813,46851488,127141000,3908743,6398940,435582,31068833,18112907,445053,24850912,120149897,34680458,16939923,4609400,27610325,183995785,210969298,5188607,4191776,30711863,37986412,103031365,10358076,2414573,144640716,5535002,7095383,55876504,46444832,38171178,52542823,320738994,65116219,92191398
2016 [YR2016],34636207,24190907,395976,159784568,1409661,8736668,278649,11331422,749761,11263015,206859578,7127822,15624584,36110803,1387790000,47625955,11342012,5495303,918371,66724104,82348669,29554303,10775971,9814023,1338636340,261850182,335439,7336600,4755335,8546000,60627498,38697943,47894670,127076000,4048085,6258619,454252,31526418,18700106,455356,25501941,121519221,35107264,17030314,4714100,27861186,188666931,213524840,5234519,4398070,31132779,37970087,104875266,10325452,2595166,145015460,5607283,7058322,56422274,46484062,39377169,54401802,323071755,65611593,93126529
2017 [YR2017],35643418,24592588,399020,161793964,1456834,8797566,279187,11375158,756121,11435533,208504960,7075947,15830689,36545075,1396215000,48351671,11336405,5508214,919019,66918020,82657002,30222262,10754679,9787966,1354195680,264498852,343400,7393200,4807388,8713300,60536709,39621162,48948137,126972000,4124904,6109252,472442,31975806,19311355,467999,26169542,122839258,35528115,17131296,4813600,28183426,193495907,216379655,5276968,4541854,31605486,37974826,106738501,10300300,2711755,145293260,5612253,7020858,56641209,46593236,40679828,56267032,325122128,66058859,94033048
2018 [YR2018],36686784,24963258,401906,163683958,1487340,8840521,279688,11427054,762096,11606905,210166592,7025037,16025238,37072620,1402760000,49276961,11328244,5515525,918996,67158348,82905782,30870641,10732882,9775564,1369003306,267066843,352721,7452600,4867316,8882800,60421760,40590700,49953304,126811000,4317185,5950839,489758,32399271,19934298,484630,26846541,124013861,35927511,17231624,4900600,28506712,198387623,219731479,5311916,4601157,32203944,37974750,108568836,10283822,2766732,145398106,5638676,6982604,57339635,46797754,41999059,58090443,326838199,66460344,94914330
2019 [YR2019],37769499,25334826,404557,165516222,1494188,8879920,280180,11488980,767459,11777315,211782878,6975761,16207746,37618495,1407745000,50187406,11316697,5521606,918465,67388001,83092962,31522290,10721582,9771141,1383112050,269582878,360563,7507900,4934340,9054000,59729081,41563520,50951450,126633000,4441100,5781907,504508,32804020,20567424,504062,27533134,125085311,36304408,17344874,4979200,28832496,203304492,223293280,5347896,4602768,32824861,37965475,110380804,10286263,2807235,145453291,5703569,6945235,58087055,47134837,43232093,59872579,328329953,66836327,95776716
2020 [YR2020],38972230,25649248,406471,167420951,1477469,8916864,280693,11538604,772506,11936162,213196304,6934015,16396860,38028638,1411100000,50930662,11300698,5529543,920422,67571107,83160871,32180401,10698599,9750149,1396387127,271857970,366463,7481000,4985382,9215100,59438851,42556984,51985780,126261000,4360444,5662923,514438,33199993,21224040,515332,28225177,125998302,36688772,17441500,5090200,29348627,208327405,227196741,5379475,4543399,33304756,37899070,112190977,10297081,2760385,145245148,5685807,6899126,58801927,47365655,44440486,61704518,331526933,67081234,96648685
2021 [YR2021],40099462,25685412,407906,169356251,1463265,8955797,281200,11586195,777486,12079472,214326223,6877743,16589023,38239864,1412360000,51516562,11256372,5541017,924610,67764304,83196078,32833031,10569207,9709891,1407563842,273753191,372520,7413100,5033164,9371400,59133173,43533592,53005614,125681593,4250114,5592631,521457,33573874,21904983,518536,28915653,126705138,37076584,17533044,5111300,30034989,213401323,231402117,5408320,4520471,33715471,37747124,113880328,10361831,2688235,144746762,5453566,6834326,59392255,47415794,45657202,63588334,332048977,67026292,97468029
2022 [YR2022],41128771,26014399,409984,171186372,1472233,9041851,281635,11685814,782455,12224110,215313498,6465097,16767842,38939056,1412175000,51874024,11212191,5556106,929766,67971311,83797985,33475870,10426919,9643048,1417173173,275501339,382003,7346100,5127170,9557500,58940425,44496122,54027487,125124989,4268873,5489739,523787,33938221,22593590,531113,29611714,127504125,37457971,17700982,5117200,30547580,218541212,235824862,5457127,4576298,34049588,36821749,115559009,10409704,2695122,144236933,5637022,6664449,59893885,47778340,46874204,65497748,333271411,67791000,98186856
2023 [YR2023],42239854,26638544,412623,172954319,1485509,9132383,281995,11822592,787424,12388571,216422446,6430370,16944826,40097761,1410710000,52085168,11194449,5584264,936375,68170228,84482267,34121985,10361295,9589872,1428627663,277534122,393600,7536100,5262382,9756700,58761146,45504560,55100586,124516650,4310108,5353930,521021,34308525,23293698,553214,30325732,128455567,37840044,17879488,5223100,30896590,223804632,240485658,5519594,4644384,34352719,36685849,117337368,10525347,2716391,143826130,5917648,6618026,60414495,48373336,48109006,67438106,334914895,68350000,98858950
